App run:
Date;Time;CardFrom;CardTo;Sum;Commission;Result2023-05-14;12:54:07.911280400;5234;523432;100;1;true
App run:
Date;Time;CardFrom;CardTo;Sum;Commission;Result2023-05-14;12:54:36.454921300;5234;523432;100;1;true
App run:
Date;Time;CardFrom;CardTo;Sum;Commission;ResultApp run:
Date;Time;CardFrom;CardTo;Sum;Commission;Result2023-05-14;12:57:29.424479500;4960142027505908;4960142841701642;1000;1;false
2023-05-14;12:57:29.429479200;4960142027505908;4960142841701642;1000;1;false
2023-05-14;12:57:29.430480400;4960142027505908;4960142841701642;1000;1;true
2023-05-14;12:57:29.437477800;4960142027505908;4960142841701642;1000;1;false
2023-05-14;12:57:29.444479100;4960142027505908;4960142841701642;1000;1;false
2023-05-14;12:57:29.445480300;4960142027505908;4960142841701642;1000;1;true
App run:
Date;Time;CardFrom;CardTo;Sum;Commission;ResultApp run:
Date;Time;CardFrom;CardTo;Sum;Commission;Result2023-05-14;12:57:48.057829900;5234;523432;100;1;true
App run:
Date;Time;CardFrom;CardTo;Sum;Commission;Result2023-05-14;12:57:48.448770300;4960142027505908;4960142841701642;10000;1;false
2023-05-14;12:57:48.477285400;4960142027505908;4960142841701642;1000;1;false
2023-05-14;12:57:48.481287;4960142027505908;4960142841701642;1000;1;false
2023-05-14;12:57:48.481287;4960142027505908;4960142841701642;1000;1;true
2023-05-14;12:57:48.487287700;4960142027505908;4960142841701642;1000;1;false
2023-05-14;12:57:48.492286400;4960142027505908;4960142841701642;1000;1;false
2023-05-14;12:57:48.492286400;4960142027505908;4960142841701642;1000;1;true
